objectID,isHighlight,accessionNumber,accessionYear,isPublicDomain,primaryImage,primaryImageSmall,additionalImages,constituents,department,objectName,title,culture,period,dynasty,reign,portfolio,artistRole,artistPrefix,artistDisplayName,artistDisplayBio,artistSuffix,artistAlphaSort,artistNationality,artistBeginDate,artistEndDate,artistGender,artistWikidata_URL,artistULAN_URL,objectDate,objectBeginDate,objectEndDate,medium,dimensions,measurements,creditLine,geographyType,city,state,county,country,region,subregion,locale,locus,excavation,river,classification,rightsAndReproduction,linkResource,metadataDate,repository,objectURL,tags,objectWikidata_URL,isTimelineWork,GalleryNumber,message
469837.0,True,1977.421,1977,True,https://images.metmuseum.org/CRDImages/cl/original/DP102835.jpg,https://images.metmuseum.org/CRDImages/cl/web-large/DP102835.jpg,"['https://images.metmuseum.org/CRDImages/cl/original/sf1977-421s2.jpg', 'https://images.metmuseum.org/CRDImages/cl/original/sf1977-421s3.jpg', 'https://images.metmuseum.org/CRDImages/cl/original/sf1977-421s4.jpg']",,The Cloisters,Plaque,Plaque with Saint John the Evangelist,Carolingian,,,,,,,,,,,,,,,,,early 9th century,800.0,850.0,Elephant ivory,Overall: 7 3/16 x 3 11/16 x 1/4 in. (18.3 x 9.4 x 0.7 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 18.3, 'Thickness': 0.7, 'Width': 9.4}}]","The Cloisters Collection, 1977",Made in,Aachen,,,Germany,,,,,,,Ivories-Elephant,,,2023-09-16T04:54:53.55Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/469837,"[{'term': 'Eagles', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250049', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q2092297'}, {'term': 'Saint John the Evangelist', 'AAT_URL': 'http://vocab.getty.edu/page/ia/901001171', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q328804'}]",https://www.wikidata.org/wiki/Q29385479,True,014,
469844.0,True,1979.402,1979,True,https://images.metmuseum.org/CRDImages/cl/original/DP102836.jpg,https://images.metmuseum.org/CRDImages/cl/web-large/DP102836.jpg,"['https://images.metmuseum.org/CRDImages/cl/original/LC-1979_402-4.jpg', 'https://images.metmuseum.org/CRDImages/cl/original/LC-1979_402-3.jpg', 'https://images.metmuseum.org/CRDImages/cl/original/LC-1979_402-1.jpg', 'https://images.metmuseum.org/CRDImages/cl/original/LC-1979_402-2.jpg', 'https://images.metmuseum.org/CRDImages/cl/original/LC-1979_402-5.jpg', 'https://images.metmuseum.org/CRDImages/cl/original/LC-1979_402-6.jpg', 'https://images.metmuseum.org/CRDImages/cl/original/LC-1979_402-7.jpg']",,The Cloisters,Statuette,Enthroned Virgin and Child,British,,,,,,,,,,,,,,,,,ca. 1300,1295.0,1305.0,Elephant ivory,Overall: 10 3/4 x 5 5/16 x 3 3/4in. (27.3 x 13.5 x 9.6cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 9.6, 'Height': 27.3, 'Width': 13.5}}]","The Cloisters Collection, 1979",Made in,probably London,,,England,,,,,,,Ivories-Elephant,,,2023-11-02T04:54:43.7Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/469844,"[{'term': 'Virgin Mary', 'AAT_URL': 'http://vocab.getty.edu/page/ia/901000032', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q345'}, {'term': 'Women', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025943', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q467'}]",https://www.wikidata.org/wiki/Q25352103,True,014,
464489.0,False,17.190.52,1917,True,https://images.metmuseum.org/CRDImages/md/original/DT115.jpg,https://images.metmuseum.org/CRDImages/md/web-large/DT115.jpg,"['https://images.metmuseum.org/CRDImages/md/original/DT2672.jpg', 'https://images.metmuseum.org/CRDImages/md/original/sf17-190-52s2.jpg']",,Medieval Art,Diptych wing,Panel of a Diptych Announcing the Consulship of Justinian,Byzantine,,,,,,,,,,,,,,,,,521,521.0,521.0,Elephant ivory,Overall: 13 15/16 x 5 7/8 x 3/8 in. (35.4 x 14.9 x 1 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 35.4013, 'Thickness': 0.9525, 'Width': 14.9225}}]","Gift of J. Pierpont Morgan, 1917",Made in,Constantinople,,,,,,,,,,Ivories-Elephant,,,2024-06-11T04:53:38.053Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/464489,,https://www.wikidata.org/wiki/Q116256757,True,301,
466254.0,True,1993.19,1993,True,https://images.metmuseum.org/CRDImages/cl/original/DT201432.jpg,https://images.metmuseum.org/CRDImages/cl/web-large/DT201432.jpg,"['https://images.metmuseum.org/CRDImages/cl/original/cdi1993-19s2.jpg', 'https://images.metmuseum.org/CRDImages/cl/original/cdi1993-19s3.jpg', 'https://images.metmuseum.org/CRDImages/cl/original/cdi1993-19s4.jpg', 'https://images.metmuseum.org/CRDImages/cl/original/cdi1993-19s5.jpg', 'https://images.metmuseum.org/CRDImages/cl/original/cdi1993-19s6.jpg', 'https://images.metmuseum.org/CRDImages/cl/original/cdi1993-19d1.jpg', 'https://images.metmuseum.org/CRDImages/cl/original/cdi1993-19d2.jpg', 'https://images.metmuseum.org/CRDImages/cl/original/cdi1993-19d3.jpg', 'https://images.metmuseum.org/CRDImages/cl/original/cdi1993-19d4.jpg', 'https://images.metmuseum.org/CRDImages/cl/original/cdi1993-19d5.jpg']",,The Cloisters,Plaque,Plaque with the Holy Women at the Sepulchre,North Italian,,,,,,,,,,,,,,,,,early 10th century,900.0,950.0,Elephant ivory,Overall: 7 1/2 x 4 1/4 x 5/16 in. (19 x 10.8 x 0.8 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 19, 'Thickness': 0.8, 'Width': 10.8}}]","Purchase, The Cloisters Collection and Lila Acheson Wallace Gift, 1993",Made in,Milan (?),,,Italy,,,,,,,Ivories-Elephant,,,2024-04-15T04:51:47.857Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/466254,"[{'term': 'Angels', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300379004', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q235113'}, {'term': 'Tombs', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300005926', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q381885'}, {'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}, {'term': 'Women', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025943', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q467'}, {'term': 'Sleeping', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300375130', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q35831'}]",https://www.wikidata.org/wiki/Q29385421,True,014,
475487.0,False,2003.131.1,2003,True,https://images.metmuseum.org/CRDImages/cl/original/DT11695.jpg,https://images.metmuseum.org/CRDImages/cl/web-large/DT11695.jpg,['https://images.metmuseum.org/CRDImages/cl/original/tr-30-1a-2003s2.jpg'],,The Cloisters,Roundel,Roundel with Scenes of the Attack on the Castle of Love,French,,,,,,,,,,,,,,,,,ca. 1320–40,1320.0,1340.0,Elephant ivory,Overall: Diam. 5 9/16 x 1/2 in. (Diam. 14.1 x 1.2 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 1.2, 'Diameter': 14.1}}]","The Cloisters Collection, 2003",Made in,Paris,,,France,,,,,,,Ivories-Elephant,,,2024-06-12T10:18:48.593Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/475487,"[{'term': 'Castles', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300006891', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q23413'}, {'term': 'Bow and Arrow', 'AAT_URL': None, 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q19827042'}, {'term': 'Women', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025943', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q467'}, {'term': 'Knights', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300230874', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q102083'}, {'term': 'Horses', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250148', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q726'}]",https://www.wikidata.org/wiki/Q116411528,False,014,
464454.0,False,17.190.49,1917,True,https://images.metmuseum.org/CRDImages/md/original/DT329907.jpg,https://images.metmuseum.org/CRDImages/md/web-large/DT329907.jpg,"['https://images.metmuseum.org/CRDImages/md/original/sf17-190-49s2at.jpg', 'https://images.metmuseum.org/CRDImages/md/original/sf17-190-49s4at.jpg', 'https://images.metmuseum.org/CRDImages/md/original/sf17-190-49s3at.jpg', 'https://images.metmuseum.org/CRDImages/md/original/sf17-190-49d1at.jpg', 'https://images.metmuseum.org/CRDImages/md/original/sf17-190-49d3at.jpg']",,Medieval Art,Plaque,Plaque with the Virgin Mary as a Personification of the Church,Carolingian,,,,,,,,,,,,,,,,,ca. 800–825,800.0,825.0,Elephant ivory,Overall: 8 11/16 x 5 11/16 x 5/16 in. (22 x 14.5 x 0.8 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 22, 'Thickness': 1.2, 'Width': 14.5}}, {'elementName': 'Other', 'elementDescription': 'attachment holes', 'elementMeasurements': {'Depth': 1.2, 'Diameter': 0.5}}]","Gift of J. Pierpont Morgan, 1917",Made in,Aachen,,,Germany,,,,,,,Ivories-Elephant,,,2024-06-11T04:53:38.053Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/464454,"[{'term': 'Virgin Mary', 'AAT_URL': 'http://vocab.getty.edu/page/ia/901000032', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q345'}]",https://www.wikidata.org/wiki/Q116236479,True,304,
464013.0,False,17.190.132,1917,True,https://images.metmuseum.org/CRDImages/md/original/DT258629.jpg,https://images.metmuseum.org/CRDImages/md/web-large/DT258629.jpg,"['https://images.metmuseum.org/CRDImages/md/original/sf17-190-132s2.jpg', 'https://images.metmuseum.org/CRDImages/md/original/sf17-190-132s6.jpg', 'https://images.metmuseum.org/CRDImages/md/original/sf17-190-132s3.jpg', 'https://images.metmuseum.org/CRDImages/md/original/sf17-190-132s5.jpg', 'https://images.metmuseum.org/CRDImages/md/original/sf17-190-132s4.jpg']",,Medieval Art,Plaque,Icon with the Koimesis,Byzantine,,,,,,,,,,,,,,,,,late 900s,950.0,999.0,Elephant ivory,Overall: 7 5/16 x 5 13/16 x 7/16 in. (18.6 x 14.8 x 1.1 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 18.6, 'Thickness': 1.1, 'Width': 14.8}}]","Gift of J. Pierpont Morgan, 1917",Made in,probably Constantinople,,,,,,,,,,Ivories-Elephant,,,2024-06-11T04:53:38.053Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/464013,"[{'term': 'Death of the Virgin', 'AAT_URL': 'http://vocab.getty.edu/page/ia/901000556', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q1245512'}, {'term': 'Saint Paul', 'AAT_URL': 'http://vocab.getty.edu/page/ia/901001058', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q9200'}, {'term': 'Saint Peter', 'AAT_URL': 'http://vocab.getty.edu/page/ia/901000056', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q33923'}, {'term': 'Angels', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300379004', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q235113'}, {'term': 'Virgin Mary', 'AAT_URL': 'http://vocab.getty.edu/page/ia/901000032', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q345'}]",https://www.wikidata.org/wiki/Q116274385,True,303,
467730.0,True,41.100.157,1941,True,https://images.metmuseum.org/CRDImages/md/original/DP-16229-001.jpg,https://images.metmuseum.org/CRDImages/md/web-large/DP-16229-001.jpg,"['https://images.metmuseum.org/CRDImages/md/original/sf41-100-157s2.jpg', 'https://images.metmuseum.org/CRDImages/md/original/DT143.jpg', 'https://images.metmuseum.org/CRDImages/md/original/SFSL-41-100-157-Detail-4.jpg', 'https://images.metmuseum.org/CRDImages/md/original/SFSL-41-100-157-Detail-2.jpg', 'https://images.metmuseum.org/CRDImages/md/original/SFSL-41-100-157-Detail-1.jpg', 'https://images.metmuseum.org/CRDImages/md/original/SFSL-41-100-157-Detail-3.jpg']",,Medieval Art,Plaque,Plaque with Christ Receiving Magdeburg Cathedral from Emperor Otto I,Ottonian,,,,,,,,,,,,,,,,,ca. 962–968,962.0,968.0,Elephant ivory,Overall: 5 1/8 x 4 7/16 x 5/16in. (13 x 11.3 x 0.8cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 0.8, 'Height': 13, 'Width': 11.3}}]","Gift of George Blumenthal, 1941",Made in,Milan (?),,,,,,,,,,Ivories-Elephant,,,2024-06-11T04:53:38.053Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/467730,"[{'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}, {'term': 'Christ', 'AAT_URL': 'http://vocab.getty.edu/page/ia/901000087', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q642420'}, {'term': 'Saints', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300150555', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q43115'}]",https://www.wikidata.org/wiki/Q29385453,True,304,
464360.0,True,17.190.38,1917,True,https://images.metmuseum.org/CRDImages/md/original/DT142.jpg,https://images.metmuseum.org/CRDImages/md/web-large/DT142.jpg,"['https://images.metmuseum.org/CRDImages/md/original/sf17-190-38s2.jpg', 'https://images.metmuseum.org/CRDImages/md/original/sf17-190-38d5.jpg', 'https://images.metmuseum.org/CRDImages/md/original/sf17-190-38d1.jpg', 'https://images.metmuseum.org/CRDImages/md/original/sf17-190-38d2.jpg', 'https://images.metmuseum.org/CRDImages/md/original/sf17-190-38d3.jpg', 'https://images.metmuseum.org/CRDImages/md/original/sf17-190-38d4.jpg']",,Medieval Art,Plaque,Plaque with Agnus Dei on a Cross between Emblems of the Four Evangelists,South Italian,,,,,,,,,,,,,,,,,1000–1050,1000.0,1050.0,Elephant ivory,Overall: 9 1/4 x 5 3/8 x 3/8 in. (23.5 x 13.7 x 0.9 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 23.5, 'Thickness': 0.9, 'Width': 13.7}}]","Gift of J. Pierpont Morgan, 1917",Made in,Benevento (perhaps),,,,,,,,,,Ivories-Elephant,,,2024-06-11T04:53:38.053Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/464360,"[{'term': 'Eagles', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250049', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q2092297'}, {'term': 'Lambs', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250289', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q4575936'}, {'term': 'Cross', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300235443', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q40843'}, {'term': 'Ox', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250282', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q473194'}, {'term': 'Evangelists', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025762', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q43412'}, {'term': 'Lions', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300310388', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q140'}, {'term': 'Angels', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300379004', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q235113'}]",https://www.wikidata.org/wiki/Q29385366,True,304,
464428.0,True,17.190.44,1917,True,https://images.metmuseum.org/CRDImages/md/original/DP355179.jpg,https://images.metmuseum.org/CRDImages/md/web-large/DP355179.jpg,"['https://images.metmuseum.org/CRDImages/md/original/sf17-190-44s2.jpg', 'https://images.metmuseum.org/CRDImages/md/original/sf17-190-44s3.jpg', 'https://images.metmuseum.org/CRDImages/md/original/DP355180.jpg']",,Medieval Art,Plaque,Icon with the Crucifixion,Byzantine,,,,,,,,,,,,,,,,,mid-10th century,925.0,975.0,Elephant ivory,5 15/16 × 3 1/2 × 5/16 in. (15.1 × 8.9 × 0.8 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 15.0813, 'Thickness': 0.7938, 'Width': 8.9}}]","Gift of J. Pierpont Morgan, 1917",Made in,probably Constantinople,,,,,,,,,,Ivories-Elephant,,,2024-06-11T04:53:38.053Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/464428,"[{'term': 'Saint John the Evangelist', 'AAT_URL': 'http://vocab.getty.edu/page/ia/901001171', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q328804'}, {'term': 'Crucifixion', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300404300', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q3235597'}, {'term': 'Virgin Mary', 'AAT_URL': 'http://vocab.getty.edu/page/ia/901000032', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q345'}]",https://www.wikidata.org/wiki/Q29385370,True,303,
464125.0,True,"17.190.173a, b; 1988.16",1917,True,https://images.metmuseum.org/CRDImages/md/original/DT229473.jpg,https://images.metmuseum.org/CRDImages/md/web-large/DT229473.jpg,"['https://images.metmuseum.org/CRDImages/md/original/DP-425-003.jpg', 'https://images.metmuseum.org/CRDImages/md/original/DP-425-004.jpg', 'https://images.metmuseum.org/CRDImages/md/original/DP-425-002.jpg', 'https://images.metmuseum.org/CRDImages/md/original/DP-425-005.jpg', 'https://images.metmuseum.org/CRDImages/md/original/DP-425-006.jpg', 'https://images.metmuseum.org/CRDImages/md/original/DT136.jpg', 'https://images.metmuseum.org/CRDImages/md/original/sf17-190-173as1.jpg']",,Medieval Art,Box,Box with Romance Scenes,French,,,,,,,,,,,,,,,,,ca. 1310–30,1310.0,1330.0,Elephant ivory,"4 5/16 × 9 15/16 × 6 1/4 in., 3.2 lb. (10.9 × 25.3 × 15.9 cm, 1454g)
Other (Top): 5 7/8 × 9 7/8 × 5/16 in. (15 × 25.1 × 0.8 cm)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 15.9, 'Height': 10.9, 'Weight': 1.454, 'Width': 25.3}}, {'elementName': 'Other', 'elementDescription': 'Top', 'elementMeasurements': {'Depth': 15, 'Length': 25.1, 'Thickness': 0.8}}]","Gift of J. Pierpont Morgan, 1917; The Cloisters Collection, 1988",Made in,Paris,,,France,,,,,,,Ivories-Elephant,,,2024-04-18T04:53:31.333Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/464125,"[{'term': 'Alexander The Great', 'AAT_URL': 'http://vocab.getty.edu/page/ulan/500280655', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8409'}, {'term': 'Aristotle', 'AAT_URL': 'http://vocab.getty.edu/page/ulan/500259120', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q868'}, {'term': 'Women', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025943', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q467'}, {'term': 'Unicorns', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300379595', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q7246'}, {'term': 'Dogs', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300265714', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q144'}, {'term': 'Horses', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250148', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q726'}, {'term': 'Knights', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300230874', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q102083'}, {'term': 'Lions', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300310388', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q140'}]",https://www.wikidata.org/wiki/Q29385355,False,014,
466045.0,True,1978.521.3,1978,True,https://images.metmuseum.org/CRDImages/md/original/LC_1978_521_3_s01.jpg,https://images.metmuseum.org/CRDImages/md/web-large/LC_1978_521_3_s01.jpg,"['https://images.metmuseum.org/CRDImages/md/original/LC_1978_521_3_s04.jpg', 'https://images.metmuseum.org/CRDImages/md/original/LC_1978_521_3_s03.jpg', 'https://images.metmuseum.org/CRDImages/md/original/LC_1978_521_3_s02.jpg', 'https://images.metmuseum.org/CRDImages/md/original/LC_1978_521_3_s07.jpg', 'https://images.metmuseum.org/CRDImages/md/original/LC_1978_521_3_s06.jpg', 'https://images.metmuseum.org/CRDImages/md/original/LC_1978_521_3_s05.jpg']",,Medieval Art,Statuette,Crucified Christ,French,,,,,,,,,,,,,,,,,ca. 1260–80,1260.0,1280.0,"Elephant ivory, traces of polychromy",Overall: 6 5/8 x 1 11/16 x 1 5/16in. (16.8 x 4.3 x 3.4cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 3.4, 'Height': 16.8, 'Width': 4.3}}]","Gift of Mr. and Mrs. Maxime L. Hermanos, 1978",Made in,Paris,,,France,,,,,,,Ivories-Elephant,,,2023-09-16T04:54:53.55Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/466045,"[{'term': 'Christ', 'AAT_URL': 'http://vocab.getty.edu/page/ia/901000087', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q642420'}]",https://www.wikidata.org/wiki/Q29385397,True,304,
471975.0,True,"1970.324.7a, b",1970,True,https://images.metmuseum.org/CRDImages/cl/original/LC-1970_324_7ab.jpg,https://images.metmuseum.org/CRDImages/cl/web-large/LC-1970_324_7ab.jpg,"['https://images.metmuseum.org/CRDImages/cl/original/LC-1970_324_7ab-2.jpg', 'https://images.metmuseum.org/CRDImages/cl/original/DP102832.jpg']",,The Cloisters,Diptych,Diptych with the Coronation of the Virgin and the Last Judgment,French,,,,,,,,,,,,,,,,,ca. 1260–70,1260.0,1270.0,"Elephant ivory, with metal mounts",Overall (opened): 5 x 5 1/8 x 3/4 in. (12.7 x 13 x 1.9 cm),"[{'elementName': 'Overall', 'elementDescription': 'opened', 'elementMeasurements': {'Depth': 1.9, 'Height': 12.7, 'Width': 13}}]","The Cloisters Collection, 1970",Made in,probably Paris,,,France,,,,,,,Ivories-Elephant,,,2024-06-14T04:53:15.627Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/471975,"[{'term': 'Angels', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300379004', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q235113'}, {'term': 'Virgin Mary', 'AAT_URL': 'http://vocab.getty.edu/page/ia/901000032', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q345'}, {'term': 'Saint John the Baptist', 'AAT_URL': 'http://vocab.getty.edu/page/ia/901001056', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q40662'}, {'term': 'Last Judgement', 'AAT_URL': 'http://vocab.getty.edu/page/ia/901001027', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q1821239'}]",https://www.wikidata.org/wiki/Q29385517,True,014,
466105.0,True,1982.60.399,1982,True,https://images.metmuseum.org/CRDImages/md/original/DT133.jpg,https://images.metmuseum.org/CRDImages/md/web-large/DT133.jpg,"['https://images.metmuseum.org/CRDImages/md/original/DT7195.jpg', 'https://images.metmuseum.org/CRDImages/md/original/DT7196.jpg', 'https://images.metmuseum.org/CRDImages/md/original/sf1982-60-399s01.jpg', 'https://images.metmuseum.org/CRDImages/md/original/sf1982-60-399s02.jpg', 'https://images.metmuseum.org/CRDImages/md/original/sf1982-60-399s03.jpg', 'https://images.metmuseum.org/CRDImages/md/original/sf1982-60-399s04.jpg', 'https://images.metmuseum.org/CRDImages/md/original/sf1982-60-399s05.jpg', 'https://images.metmuseum.org/CRDImages/md/original/sf1982-60-399s06.jpg', 'https://images.metmuseum.org/CRDImages/md/original/sf1982-60-399s07.jpg', 'https://images.metmuseum.org/CRDImages/md/original/sf1982-60-399s08.jpg', 'https://images.metmuseum.org/CRDImages/md/original/sf1982-60-399s13.jpg', 'https://images.metmuseum.org/CRDImages/md/original/sf1982-60-399s09.jpg', 'https://images.metmuseum.org/CRDImages/md/original/sf1982-60-399s10.jpg']",,Medieval Art,Writing tablet,Booklet with Scenes of the Passion,North French (carving); Upper Rhenish (painting),,,,,,,,,,,,,,,,,ca. 1300 (carving); ca. 1310–20 (painting),1300.0,1320.0,"Elephant ivory, polychromy, and gilding","Overall (opened): 2 13/16 x 3 3/16 x 1/2 in. (7.2 x 8.1 x 1.2 cm)
Overall (closed): 2 13/16 x 1 9/16 x 7/8 in. (7.2 x 4 x 2.2 cm)","[{'elementName': 'Overall', 'elementDescription': 'closed', 'elementMeasurements': {'Depth': 2.2, 'Height': 7.2, 'Width': 4}}, {'elementName': 'Overall', 'elementDescription': 'opened', 'elementMeasurements': {'Depth': 1.2, 'Height': 7.2, 'Width': 8.1}}]","The Jack and Belle Linsky Collection, 1982",,,,,,,,,,,,Ivories-Elephant,,,2024-04-17T04:52:44.243Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/466105,"[{'term': 'Christ', 'AAT_URL': 'http://vocab.getty.edu/page/ia/901000087', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q642420'}, {'term': 'Virgin Mary', 'AAT_URL': 'http://vocab.getty.edu/page/ia/901000032', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q345'}, {'term': 'Judas', 'AAT_URL': 'http://vocab.getty.edu/page/ia/901000531', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q81018'}, {'term': 'Bearing the Cross', 'AAT_URL': 'http://vocab.getty.edu/page/ia/901001193', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q3399226'}, {'term': 'Crucifixion', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300404300', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q3235597'}]",https://www.wikidata.org/wiki/Q29385407,True,537,
