objectID,isHighlight,accessionNumber,accessionYear,isPublicDomain,primaryImage,primaryImageSmall,additionalImages,constituents,department,objectName,title,culture,period,dynasty,reign,portfolio,artistRole,artistPrefix,artistDisplayName,artistDisplayBio,artistSuffix,artistAlphaSort,artistNationality,artistBeginDate,artistEndDate,artistGender,artistWikidata_URL,artistULAN_URL,objectDate,objectBeginDate,objectEndDate,medium,dimensions,measurements,creditLine,geographyType,city,state,county,country,region,subregion,locale,locus,excavation,river,classification,rightsAndReproduction,linkResource,metadataDate,repository,objectURL,tags,objectWikidata_URL,isTimelineWork,GalleryNumber,message
42189.0,False,1991.253.12,1991,True,https://images.metmuseum.org/CRDImages/as/original/1991_253_12.jpg,https://images.metmuseum.org/CRDImages/as/web-large/1991_253_12.jpg,[],,Asian Art,Figure,Horse,China,Tang dynasty (618–907),,,,,,,,,,,,,,,,late 7th–first half of the 8th century,667.0,749.0,Earthenware with three-color (sancai) glaze and pigment,H. 29 in. (73.7 cm); W. 32 in. (81.3 cm); D. 12 in. (30.5 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 30.48006, 'Height': 73.66015, 'Width': 81.28016}}]","Gift of Stanley Herzman, in memory of Adele Herzman, 1991",,,,,,,,,,,,Tomb Pottery,,,2023-06-28T04:56:22.387Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/42189,"[{'term': 'Horses', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250148', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q726'}]",,False,207,
446191.0,True,11.205.2,1911,True,https://images.metmuseum.org/CRDImages/is/original/DP170363.jpg,https://images.metmuseum.org/CRDImages/is/web-large/DP170363.jpg,"['https://images.metmuseum.org/CRDImages/is/original/11.205.2.jpg', 'https://images.metmuseum.org/CRDImages/is/original/is11.205.2.R.jpg', 'https://images.metmuseum.org/CRDImages/is/original/263482.jpg', 'https://images.metmuseum.org/CRDImages/is/original/DT492.jpg', 'https://images.metmuseum.org/CRDImages/is/original/11739.jpg']",,Islamic Art,Panel,Panel with Horse Heads,,,,,,,,,,,,,,,,,,11th century,1000.0,1099.0,Wood (teak); carved,"H. 13 3/4 in. (34.9 cm)
W. 8 15/16 in. (22.7 cm)
D. 11/16 in. (1.7 cm)
Object with mount: L. 14 1/8 in. (35.9 cm)
                                   W. 9 1/8 in. (23.2 cm)
                                   D. 1 5/8 in. (4.1 cm)","[{'elementName': 'Overall', 'elementDescription': 'Object with mount', 'elementMeasurements': {'Depth': 4.1275, 'Height': 35.8776, 'Width': 23.1775}}, {'elementName': 'Overall', 'elementDescription': 'Object', 'elementMeasurements': {'Depth': 1.7463, 'Height': 34.9251, 'Width': 22.7013}}]","Rogers Fund, 1911",Made in,,,,Egypt,,,,,,,Wood,,,2023-09-16T04:54:53.55Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/446191,"[{'term': 'Horses', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250148', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q726'}]",https://www.wikidata.org/wiki/Q29384965,True,454,
251050.0,True,21.88.24,1921,True,https://images.metmuseum.org/CRDImages/gr/original/DP102161.jpg,https://images.metmuseum.org/CRDImages/gr/web-large/DP102161.jpg,['https://images.metmuseum.org/CRDImages/gr/original/DT11722.jpg'],,Greek and Roman Art,Statuette of a horse,Bronze horse,"Greek, Corinthian ?",Geometric,,,,,,,,,,,,,,,,8th century BCE,-799.0,-700.0,Bronze,H.: 6 15/16 x 5 1/4 x 1 3/8 in. (17.6 x 13.3 x 3.5 cm),"[{'elementName': 'Height', 'elementDescription': None, 'elementMeasurements': {'Height': 17.621284, 'Length': 13.335027, 'Width': 3.492507}}]","Rogers Fund, 1921",,,,,,,,,,,,Bronzes,,,2024-02-02T15:12:51.547Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/251050,"[{'term': 'Horses', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250148', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q726'}]",https://www.wikidata.org/wiki/Q29383819,True,151,
195196.0,False,24.212.23,1924,True,https://images.metmuseum.org/CRDImages/es/original/DP-606-001.jpg,https://images.metmuseum.org/CRDImages/es/web-large/DP-606-001.jpg,"['https://images.metmuseum.org/CRDImages/es/original/DP-606-002.jpg', 'https://images.metmuseum.org/CRDImages/es/original/DP-606-003.jpg']","[{'constituentID': 163601, 'role': 'Modeler', 'name': 'After a model by Giambologna', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500016387', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q220136', 'gender': ''}]",European Sculpture and Decorative Arts,Statuette,Trotting horse,,,,,,Modeler,After a model by,Giambologna,"Netherlandish, Douai 1529–1608 Florence",,Giambologna,Netherlandish,1529,1608,,https://www.wikidata.org/wiki/Q220136,http://vocab.getty.edu/page/ulan/500016387,probably 1587–91,1587.0,1591.0,Bronze,Overall (confirmed): 9 3/4 × 10 7/8 × 3 3/4 in. (24.8 × 27.6 × 9.5 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 24.4, 'Width': 28.3}}, {'elementName': 'Overall', 'elementDescription': 'confirmed', 'elementMeasurements': {'Depth': 9.525019, 'Height': 24.765049, 'Width': 27.622555}}]","Gift of Ogden Mills, 1924",,,,,,,,,,,,Sculpture-Bronze,,,2023-12-29T04:59:34.497Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/195196,"[{'term': 'Horses', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250148', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q726'}]",,False,536,
435702.0,True,87.25,1887,True,https://images.metmuseum.org/CRDImages/ep/original/DP-23550-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-23550-001.jpg,"['https://images.metmuseum.org/CRDImages/ep/original/87_25a.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/87_25b.jpg']","[{'constituentID': 161695, 'role': 'Artist', 'name': 'Rosa Bonheur', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500014964', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q241732', 'gender': 'Female'}]",European Paintings,Painting,The Horse Fair,,,,,,Artist,,Rosa Bonheur,"French, Bordeaux 1822–1899 Thomery",,"Bonheur, Rosa",French,1822,1899,Female,https://www.wikidata.org/wiki/Q241732,http://vocab.getty.edu/page/ulan/500014964,1852–55,1852.0,1855.0,Oil on canvas,96 1/4 x 199 1/2 in. (244.5 x 506.7 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 244.5, 'Width': 506.7}}, {'elementName': 'Frame', 'elementDescription': None, 'elementMeasurements': {'Depth': 8.8900175, 'Height': 270.82803, 'Width': 532.76605}}]","Gift of Cornelius Vanderbilt, 1887",,,,,,,,,,,,Paintings,,,2024-04-06T04:52:13.883Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/435702,"[{'term': 'Paris', 'AAT_URL': 'http://vocab.getty.edu/page/tgn/7008038', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q90'}, {'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}, {'term': 'Horses', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250148', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q726'}]",https://www.wikidata.org/wiki/Q40432,True,812,
251187.0,False,22.139.7,1922,True,https://images.metmuseum.org/CRDImages/gr/original/DP228155.jpg,https://images.metmuseum.org/CRDImages/gr/web-large/DP228155.jpg,['https://images.metmuseum.org/CRDImages/gr/original/DP228151.jpg'],"[{'constituentID': 49289, 'role': 'Artist', 'name': 'Attributed to The Horse-Head Amphorae', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500083344', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q2083695', 'gender': ''}]",Greek and Roman Art,"Amphora, Type B",Terracotta amphora (jar),"Greek, Attic",Archaic,,,,Artist,Attributed to,The Horse-Head Amphorae,,,Horse-Head Amphorae,,,,,https://www.wikidata.org/wiki/Q2083695,http://vocab.getty.edu/page/ulan/500083344,ca. 600 BCE,-600.0,-600.0,Terracotta,H. 22 11/16 in. (57.6 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 57.61}}]","Rogers Fund, 1922",,,,,,,,,,,,Vases,,,2023-09-16T04:54:53.55Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/251187,"[{'term': 'Horses', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250148', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q726'}]",https://www.wikidata.org/wiki/Q116289366,False,171,
251268.0,False,23.69,1923,True,https://images.metmuseum.org/CRDImages/gr/original/TOAH_DP120127.jpg,https://images.metmuseum.org/CRDImages/gr/web-large/TOAH_DP120127.jpg,"['https://images.metmuseum.org/CRDImages/gr/original/DP120123.jpg', 'https://images.metmuseum.org/CRDImages/gr/original/DP120124.jpg', 'https://images.metmuseum.org/CRDImages/gr/original/DP120125.jpg', 'https://images.metmuseum.org/CRDImages/gr/original/DP120126.jpg', 'https://images.metmuseum.org/CRDImages/gr/original/DP120127.jpg']",,Greek and Roman Art,Statuette of a horse,Bronze statuette of a horse,Greek,Late Hellenistic,,,,,,,,,,,,,,,,late 2nd–1st century BCE,-115.0,-1.0,Bronze,H. 15 13/16 in. (40.2 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 40.21}}]","Fletcher Fund, 1923",,,,,,,,,,,,Bronzes,,,2024-02-21T04:57:45.157Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/251268,"[{'term': 'Horses', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250148', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q726'}]",https://www.wikidata.org/wiki/Q16328090,False,164,
544853.0,True,26.7.1293,1926,True,https://images.metmuseum.org/CRDImages/eg/original/DP-17703-001.jpg,https://images.metmuseum.org/CRDImages/eg/web-large/DP-17703-001.jpg,"['https://images.metmuseum.org/CRDImages/eg/original/DP238570.jpg', 'https://images.metmuseum.org/CRDImages/eg/original/DP-17703-002.jpg', 'https://images.metmuseum.org/CRDImages/eg/original/DP-17703-003.jpg', 'https://images.metmuseum.org/CRDImages/eg/original/DP-17703-004.jpg', 'https://images.metmuseum.org/CRDImages/eg/original/DP-17703-005.jpg', 'https://images.metmuseum.org/CRDImages/eg/original/DP-17703-006.jpg', 'https://images.metmuseum.org/CRDImages/eg/original/26.7.1293_rp.jpg']",,Egyptian Art,"Whip handle, horse",Whip Handle in the Shape of a Horse,,New Kingdom,Dynasty 18,reign of Amenhotep III,,,,,,,,,,,,,,ca. 1390–1352 B.C.,-1390.0,-1352.0,"Ivory, garnet, paint",L. 14.7 × H. 5.5 × W. 2 cm (5 13/16 × 2 3/16 × 13/16 in.),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 5.5, 'Length': 14.7, 'Width': 2}}]","Purchase, Edward S. Harkness Gift, 1926",From,,,,Egypt,,,,,,,,,,2023-09-16T04:54:53.55Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/544853,"[{'term': 'Horses', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250148', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q726'}]",https://www.wikidata.org/wiki/Q29385851,True,119,
446860.0,True,16.87,1916,True,https://images.metmuseum.org/CRDImages/is/original/DP212285.jpg,https://images.metmuseum.org/CRDImages/is/web-large/DP212285.jpg,"['https://images.metmuseum.org/CRDImages/is/original/Cbowl16.87.jpg', 'https://images.metmuseum.org/CRDImages/is/original/wb-16.87b.JPG', 'https://images.metmuseum.org/CRDImages/is/original/wb-16.87c.JPG', 'https://images.metmuseum.org/CRDImages/is/original/DT11976.jpg', 'https://images.metmuseum.org/CRDImages/is/original/DP212295.jpg', 'https://images.metmuseum.org/CRDImages/is/original/71033.jpg']",,Islamic Art,Bowl,Luster Bowl with Winged Horse,,,,,,,,,,,,,,,,,,late 12th century,1175.0,1199.0,Stonepaste; luster-painted on opaque monochrome glaze,"H. 3 1/4 in (8.3 cm)
Diam. 8 in. (20.3 cm)","[{'elementName': 'Other', 'elementDescription': None, 'elementMeasurements': {'Diameter': 20.3}}, {'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 8.3}}]","Rogers Fund, 1916",Made in,,,,Iran,,,,,,,Ceramics,,,2023-09-16T04:54:53.55Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/446860,"[{'term': 'Mythical Creatures', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300375725', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q2239243'}, {'term': 'Horses', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250148', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q726'}]",https://www.wikidata.org/wiki/Q29385034,False,453,
252510.0,False,26.60.45,1926,False,,,[],"[{'constituentID': 49289, 'role': 'Artist', 'name': 'Attributed to The Horse-Head Amphorae', 'constituentULAN_URL': 'http://vocab.getty.edu/page/ulan/500083344', 'constituentWikidata_URL': 'https://www.wikidata.org/wiki/Q2083695', 'gender': ''}]",Greek and Roman Art,"Amphora, Type B",Terracotta amphora (storage jar),"Greek, Attic",Archaic,,,,Artist,Attributed to,The Horse-Head Amphorae,,,Horse-Head Amphorae,,,,,https://www.wikidata.org/wiki/Q2083695,http://vocab.getty.edu/page/ulan/500083344,ca. 560–550 BCE,-560.0,-550.0,Terracotta,H.: 15 1/16 in. (38.3 cm),"[{'elementName': 'Height', 'elementDescription': None, 'elementMeasurements': {'Height': 38.258827}}]","Fletcher Fund, 1926",,,,,,,,,,,,Vases,,,2023-09-16T04:54:53.55Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/252510,,https://www.wikidata.org/wiki/Q116404181,False,152,
35772.0,False,"14.25.709a–p; 21.139.1a–x,.8,.12; 1984.356",1914,True,https://images.metmuseum.org/CRDImages/aa/original/DP-12882-001.jpg,https://images.metmuseum.org/CRDImages/aa/web-large/DP-12882-001.jpg,"['https://images.metmuseum.org/CRDImages/aa/original/DP-12882-002.jpg', 'https://images.metmuseum.org/CRDImages/aa/original/DP-12882-003.jpg', 'https://images.metmuseum.org/CRDImages/aa/original/51164.jpg', 'https://images.metmuseum.org/CRDImages/aa/original/51165.jpg', 'https://images.metmuseum.org/CRDImages/aa/original/51166.jpg']",,Arms and Armor,Armor for man and horse,Armor for Man and Horse,"Italian, Milan and Brescia",,,,,,,,,,,,,,,,,"man's armor, ca. 1570 and later; horse armor, ca. 1580–90 and later",1545.0,1900.0,"Steel, leather, copper alloy, textile","as mounted, H. of horse armor 75 1/2 in. (191.8 cm); L. of horse armor 90 in. (228.6 cm); W. of horse armor 30 in. (76.2 cm); Wt. of horse armor including saddle 93 lb. 1 oz. (42.2 kg); Wt. of man's armor approx. 36 lb. 8 oz. (16.56 kg)","[{'elementName': 'Other', 'elementDescription': None, 'elementMeasurements': {'Weight': 16.56}}]","man's armor: Gift of William H. Riggs, 1913; horse armor, bit, rear plate of saddle: Fletcher Fund, 1921; part of a greave: Rogers Fund, 1984",Country of Origin,Milan and Brescia,,,Italy,,,,,,,Armor for Horse and Man,,,2024-01-06T04:58:01.473Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/35772,,https://www.wikidata.org/wiki/Q116324802,False,371,
38511.0,False,1991.300,1991,True,https://images.metmuseum.org/CRDImages/as/original/DT5237.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DT5237.jpg,[],,Asian Art,Relief,Krishna Killing the Horse Demon Keshi,India (Uttar Pradesh),Gupta period,,,,,,,,,,,,,,,,5th century,400.0,499.0,Terracotta,H. 21 in. (53.3 cm); W.16 in. (40.6 cm); D. 4 1/4 in. (10.8 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Depth': 10.795, 'Height': 50.8001, 'Width': 40.6}}]","Purchase, Florence and Herbert Irving Gift, 1991",,,,,,,,,,,,Sculpture,,,2021-07-14T04:41:26.983Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/38511,"[{'term': 'Horses', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250148', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q726'}, {'term': 'Demons', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300379730', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q177413'}, {'term': 'Krishna', 'AAT_URL': 'http://vocab.getty.edu/page/ia/901000876', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q42891'}, {'term': 'Gupta', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300018904', 'Wikidata_URL': None}]",https://www.wikidata.org/wiki/Q83562110,True,235,
449937.0,False,40.170.253,1940,True,https://images.metmuseum.org/CRDImages/is/original/LC-40_170_253.jpg,https://images.metmuseum.org/CRDImages/is/web-large/LC-40_170_253.jpg,[],,Islamic Art,Horse trappings,Horse Harness,,,,,,,,,,,,,,,,,,9th–10th century,800.0,999.0,"Bronze; cast, gilded","H. 1 7/16 in. (3.6 cm)
W. 1 1/16 in. (2.7 cm)","[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 3.6, 'Width': 2.7}}]","Rogers Fund, 1940",Excavated in,Nishapur,,,Iran,,,,,,,Metal,,,2023-09-16T04:54:53.55Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/449937,,https://www.wikidata.org/wiki/Q116409673,False,453,
449666.0,False,39.40.136,1939,True,https://images.metmuseum.org/CRDImages/is/original/LC-39_40_136.jpg,https://images.metmuseum.org/CRDImages/is/web-large/LC-39_40_136.jpg,[],,Islamic Art,Horse harness,Horse Harness,,,,,,,,,,,,,,,,,,9th–10th century,800.0,999.0,"Bronze; cast,  gilded","Bottom:
            H. 3 1/8 in. (7.9 cm)
            W. 1 7/8 in. (4.8 cm)
Top:
            H. 1 15/16 in. (4.9 cm)
            W. 1/16 in. (.2 cm)","[{'elementName': 'Overall', 'elementDescription': 'top', 'elementMeasurements': {'Height': 4.92126, 'Width': 0.15875031}}, {'elementName': 'Overall', 'elementDescription': 'bottom', 'elementMeasurements': {'Height': 7.9375157, 'Width': 4.7625093}}]","Rogers Fund, 1939",Excavated in,Nishapur,,,Iran,,,,,,,Metal,,,2023-09-16T04:54:53.55Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/449666,,https://www.wikidata.org/wiki/Q116409588,False,453,
8765.0,False,11.60.192,1911,True,https://images.metmuseum.org/CRDImages/ad/original/10340.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/10340.jpg,[],,The American Wing,Toy horse,Toy Horse,,,,,,,,,,,,,,,,,,1770–1800,1770.0,1800.0,Painted wood,H. 8 1/2 in. (21.6 cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 21.59}}]","Bequest of Maria P. James, 1910",,,,,,,,,,,,,,,2023-02-07T04:46:51.34Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/8765,"[{'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}, {'term': 'Horses', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250148', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q726'}, {'term': 'Carriages', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300185335', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q235356'}, {'term': 'Toys', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300211037', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q11422'}]",https://www.wikidata.org/wiki/Q116338169,False,774,
254825.0,True,55.11.11,1955,True,https://images.metmuseum.org/CRDImages/gr/original/DP104920.jpg,https://images.metmuseum.org/CRDImages/gr/web-large/DP104920.jpg,['https://images.metmuseum.org/CRDImages/gr/original/DP104921.jpg'],,Greek and Roman Art,Statuette of a horse or elephant rider,Bronze statuette of a rider wearing an elephant skin,Greek,Hellenistic,,,,,,,,,,,,,,,,3rd century BCE,-299.0,-200.0,Bronze,9 3/4in. (24.8cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 24.77}}]","Edith Perry Chapman Fund, 1955",,,,,,,,,,,,Bronzes,,,2024-02-17T04:58:11.007Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/254825,"[{'term': 'Male Nudes', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300189568', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q40446'}]",https://www.wikidata.org/wiki/Q29383919,True,163,
255361.0,False,1972.118.48,1972,True,https://images.metmuseum.org/CRDImages/gr/original/DP363187.jpg,https://images.metmuseum.org/CRDImages/gr/web-large/DP363187.jpg,"['https://images.metmuseum.org/CRDImages/gr/original/DP363188.jpg', 'https://images.metmuseum.org/CRDImages/gr/original/DP365935.jpg']",,Greek and Roman Art,Statuette of a horse,Bronze horse,Greek,Late Geometric,,,,,,,,,,,,,,,,late 8th century BCE,-730.0,-700.0,Bronze,H.: 4 3/8 in. (11 cm),"[{'elementName': 'Height', 'elementDescription': None, 'elementMeasurements': {'Height': 11.033147}}]","Bequest of Walter C. Baker, 1971",,,,,,,,,,,,Bronzes,,,2024-01-12T04:57:11.49Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/255361,"[{'term': 'Horses', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250148', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q726'}]",https://www.wikidata.org/wiki/Q116287816,False,151,
254991.0,False,58.180.1,1958,True,https://images.metmuseum.org/CRDImages/gr/original/179407.jpg,https://images.metmuseum.org/CRDImages/gr/web-large/179407.jpg,[],,Greek and Roman Art,Statuette of a horse,Bronze horse,South Italian,Archaic,,,,,,,,,,,,,,,,ca. 570–560 BCE,-570.0,-560.0,Bronze,Overall: 6 5/8 x 6 1/8in. (16.8 x 15.5cm),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 16.79, 'Width': 15.49}}]",Lent in 1907 by Junius Spencer Morgan (1867–1932) and given by his heirs in 1958-1959,,,,,,,,,,,,Bronzes,,,2023-09-16T04:54:53.55Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/254991,"[{'term': 'Horses', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250148', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q726'}]",https://www.wikidata.org/wiki/Q116289396,False,155,
551022.0,False,32.3.317,1932,True,https://images.metmuseum.org/CRDImages/eg/original/32.3.317_EGDP011312.jpg,https://images.metmuseum.org/CRDImages/eg/web-large/32.3.317_EGDP011312.jpg,"['https://images.metmuseum.org/CRDImages/eg/original/32.3.317_EGDP011313.jpg', 'https://images.metmuseum.org/CRDImages/eg/original/32.3.317_EGDP011314.jpg', 'https://images.metmuseum.org/CRDImages/eg/original/32.3.317_EGDP011315.jpg']",,Egyptian Art,"Figurine, Horse",Horse Figurine,,Ptolemaic Period,,,,,,,,,,,,,,,,306–30 B.C.,-306.0,-30.0,"Pottery, traces of paint",L. 18 × H. 14.5 × W. 7.8 cm (7 1/16 × 5 11/16 × 3 1/16 in.),"[{'elementName': 'Height', 'elementDescription': None, 'elementMeasurements': {'Height': 14.5, 'Length': 18, 'Width': 7.8}}]","Rogers Fund, 1932",From,,,,Egypt,"Upper Egypt, Thebes",Asasif,foot of Hatshepsut Causeway,Lower Cemetery area (Birabi),"MMA excavations, 1915–16",,,,,2024-04-24T04:52:16.827Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/551022,"[{'term': 'Horses', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250148', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q726'}]",,False,130,
247066.0,False,03.23.52,1903,True,https://images.metmuseum.org/CRDImages/gr/original/DP260759.jpg,https://images.metmuseum.org/CRDImages/gr/web-large/DP260759.jpg,[],,Greek and Roman Art,Horse bit,Horse bit,Etruscan,Archaic,,,,,,,,,,,,,,,,ca. 550 BCE,-555.0,-545.0,Iron,Other: 7 1/2 in. (19.1 cm),"[{'elementName': 'Other', 'elementDescription': None, 'elementMeasurements': {'Length': 19.050037}}]","Rogers Fund, 1903",,,,,,,,,,,,Miscellaneous-Iron,,,2023-09-16T04:54:53.55Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/247066,,https://www.wikidata.org/wiki/Q116295986,False,170,
29175.0,False,42.50.231,1942,True,https://images.metmuseum.org/CRDImages/aa/original/LC-42_50_231-001.jpg,https://images.metmuseum.org/CRDImages/aa/web-large/LC-42_50_231-001.jpg,[],,Arms and Armor,Horse tack ornament,Horse Tack Ornament,Roman-Germanic,,,,,,,,,,,,,,,,,2nd–3rd century,101.0,300.0,Copper alloy,Diam. 1 3/8 in. (3.5 cm); Wt. 0.6 oz. (17 g),,"Gift of Stephen V. Grancsay, 1942",Country of Origin,,,,probably Germany,,,,,,,Equestrian Equipment-Horse Trappings,,,2023-10-06T04:55:31.393Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/29175,,https://www.wikidata.org/wiki/Q116240944,False,370,
570368.0,False,30.8.353,1930,True,https://images.metmuseum.org/CRDImages/eg/original/LC-30_8_353_EGDP023573.jpg,https://images.metmuseum.org/CRDImages/eg/web-large/LC-30_8_353_EGDP023573.jpg,[],,Egyptian Art,"Amulet, horse",Running horse amulet,,Ptolemaic or Roman Period,,,,,,,,,,,,,,,,200 BC–200 AD,-200.0,200.0,Carnelian,L. 1.6 × W. 0.5 × H. 1 cm (5/8 × 3/16 × 3/8 in.),"[{'elementName': 'Overall', 'elementDescription': None, 'elementMeasurements': {'Height': 1, 'Length': 1.6, 'Width': 0.5}}]","Theodore M. Davis Collection, Bequest of Theodore M. Davis, 1915",From,,,,Egypt,,,,,,,,,,2023-02-07T04:46:51.34Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/570368,"[{'term': 'Horses', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250148', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q726'}]",https://www.wikidata.org/wiki/Q116272789,False,134,
